Diam (mm)	w_buoy (m/s)	Frequency
0.0749	-0.0000	0.0000
0.2248	-0.0004	0.0000
0.3746	-0.0010	0.0000
0.5245	-0.0019	0.0002
0.6743	-0.0032	0.0009
0.8242	-0.0047	0.0024
0.9740	-0.0066	0.0050
1.1239	-0.0088	0.0085
1.2737	-0.0113	0.0128
1.4236	-0.0141	0.0174
1.5734	-0.0172	0.0220
1.7233	-0.0207	0.0264
1.8732	-0.0244	0.0302
2.0230	-0.0285	0.0333
2.1729	-0.0329	0.0358
2.3227	-0.0376	0.0376
2.4726	-0.0426	0.0387
2.6224	-0.0479	0.0392
2.7723	-0.0535	0.0391
2.9221	-0.0595	0.0387
3.0720	-0.0657	0.0379
3.2218	-0.0723	0.0368
3.3717	-0.0792	0.0354
3.5215	-0.0864	0.0339
3.6714	-0.0939	0.0323
3.8212	-0.1017	0.0307
3.9711	-0.1099	0.0290
4.1209	-0.1183	0.0273
4.2708	-0.1224	0.0256
4.4206	-0.1245	0.0240
4.5705	-0.1266	0.0224
4.7203	-0.1287	0.0208
4.8702	-0.1307	0.0194
5.0200	-0.1327	0.0180
5.1699	-0.1347	0.0167
5.3197	-0.1366	0.0155
5.4696	-0.1385	0.0143
5.6195	-0.1404	0.0133
5.7693	-0.1423	0.0123
5.9192	-0.1441	0.0113
6.0690	-0.1459	0.0104
6.2189	-0.1477	0.0096
6.3687	-0.1495	0.0089
6.5186	-0.1512	0.0082
6.6684	-0.1530	0.0076
6.8183	-0.1547	0.0070
6.9681	-0.1564	0.0064
7.1180	-0.1580	0.0059
7.2678	-0.1597	0.0054
7.4177	-0.1613	0.0050
7.5675	-0.1629	0.0046
7.7174	-0.1645	0.0043
7.8672	-0.1661	0.0039
8.0171	-0.1677	0.0036
8.1669	-0.1693	0.0033
8.3168	-0.1708	0.0031
8.4666	-0.1723	0.0028
8.6165	-0.1739	0.0026
8.7663	-0.1754	0.0024
8.9162	-0.1769	0.0022
9.0661	-0.1783	0.0021
9.2159	-0.1798	0.0019
9.3658	-0.1813	0.0017
9.5156	-0.1827	0.0016
9.6655	-0.1841	0.0015
9.8153	-0.1856	0.0014
9.9652	-0.1870	0.0013
10.1150	-0.1884	0.0012
10.2649	-0.1898	0.0011
10.4147	-0.1912	0.0010
10.5646	-0.1925	0.0009
10.7144	-0.1939	0.0009
10.8643	-0.1952	0.0008
11.0141	-0.1966	0.0007
11.1640	-0.1979	0.0007
11.3138	-0.1992	0.0006
11.4637	-0.2005	0.0006
11.6135	-0.2019	0.0005
11.7634	-0.2032	0.0005
11.9132	-0.2044	0.0005
12.0631	-0.2057	0.0004
12.2129	-0.2070	0.0004
12.3628	-0.2083	0.0004
12.5126	-0.2095	0.0003
12.6625	-0.2108	0.0003
12.8124	-0.2120	0.0003
12.9622	-0.2133	0.0003
13.1121	-0.2145	0.0003
13.2619	-0.2157	0.0002
13.4118	-0.2169	0.0002
13.5616	-0.2181	0.0002
13.7115	-0.2193	0.0002
13.8613	-0.2205	0.0002
14.0112	-0.2217	0.0002
14.1610	-0.2229	0.0002
14.3109	-0.2241	0.0001
14.4607	-0.2252	0.0001
14.6106	-0.2264	0.0001
14.7604	-0.2276	0.0001
14.9103	-0.2287	0.0001
